Date,Close,Volume,Open,High,Low
08/22/2023,134.25,32935100,135.08,135.65,133.73
08/21/2023,134.68,41442480,133.74,135.185,132.71
08/18/2023,133.22,48497700,131.62,134.065,131.15
08/17/2023,133.98,48354090,135.46,136.085,133.53
08/16/2023,135.07,41675900,137.19,137.27,135.01
08/15/2023,137.67,42781520,140.05,141.2778,137.23
08/14/2023,140.57,47148700,138.30,140.59,137.75
08/11/2023,138.41,42905830,137.40,139.33,137.00
08/10/2023,138.56,58928400,139.075,140.41,137.49
08/09/2023,137.85,50017350,139.97,140.32,137.10
08/08/2023,139.94,51710500,140.62,140.84,138.42
08/07/2023,142.22,71213110,140.99,142.54,138.95
08/04/2023,139.57,153128500,141.06,143.63,139.32
08/03/2023,128.91,91163740,127.48,129.84,126.41
08/02/2023,128.21,51027610,130.154,130.23,126.82
08/01/2023,131.69,42298930,133.55,133.69,131.6199
07/31/2023,133.68,41901520,133.20,133.87,132.38
07/28/2023,132.21,46317380,129.69,133.01,129.33
07/27/2023,128.25,52610660,131.00,132.63,127.79
07/26/2023,128.15,53910090,126.51,129.08,126.11
07/25/2023,129.13,39236660,129.31,129.58,128.53
07/24/2023,128.80,45671540,130.305,131.66,128.35
